chrom	start	end
chr1	781250	1781250
chr1	981250	1981250
chr1	1181250	2181250
chr1	1381250	2381250
chr1	2781250	3781250
chr1	2981250	3981250
chr1	3181250	4181250
chr1	3381250	4381250
chr1	3581250	4581250
chr1	3781250	4781250
chr1	3981250	4981250
chr1	4181250	5181250
chr1	4381250	5381250
chr1	4581250	5581250
chr1	4781250	5781250
chr1	4981250	5981250
chr1	5181250	6181250
chr1	5381250	6381250
chr1	5581250	6581250
chr1	5781250	6781250
chr1	5981250	6981250
chr1	6181250	7181250
chr1	6381250	7381250
chr1	6581250	7581250
chr1	6781250	7781250
chr1	6981250	7981250
chr1	7181250	8181250
chr1	7381250	8381250
chr1	7581250	8581250
chr1	7781250	8781250
chr1	7981250	8981250
chr1	8181250	9181250
chr1	8381250	9381250
chr1	8581250	9581250
chr1	8781250	9781250
chr1	8981250	9981250
chr1	9181250	10181250
chr1	9381250	10381250
chr1	9581250	10581250
chr1	9781250	10781250
chr1	9981250	10981250
chr1	10181250	11181250
chr1	10381250	11381250
chr1	10581250	11581250
chr1	10781250	11781250
chr1	10981250	11981250
chr1	11181250	12181250
chr1	11381250	12381250
chr1	11581250	12581250
chr1	11781250	12781250
chr1	13312500	14312500
chr1	13512500	14512500
chr1	13712500	14712500
chr1	13912500	14912500
chr1	14112500	15112500
chr1	14312500	15312500
chr1	14512500	15512500
chr1	14712500	15712500
chr1	14912500	15912500
chr1	15112500	16112500
chr1	15312500	16312500
chr1	15512500	16512500
chr1	16875000	17875000
chr1	17075000	18075000
chr1	17275000	18275000
chr1	17475000	18475000
chr1	17675000	18675000
chr1	17875000	18875000
chr1	18075000	19075000
chr1	18275000	19275000
chr1	18475000	19475000
chr1	18675000	19675000
chr1	18875000	19875000
chr1	19075000	20075000
chr1	19275000	20275000
chr1	19475000	20475000
chr1	19675000	20675000
chr1	19875000	20875000
chr1	20075000	21075000
chr1	20275000	21275000
chr1	20475000	21475000
chr1	20675000	21675000
chr1	20875000	21875000
chr1	21075000	22075000
chr1	21275000	22275000
chr1	21475000	22475000
chr1	21675000	22675000
chr1	21875000	22875000
chr1	22075000	23075000
chr1	22275000	23275000
chr1	22475000	23475000
chr1	22675000	23675000
chr1	22875000	23875000
chr1	23075000	24075000
chr1	23275000	24275000
chr1	23475000	24475000
chr1	23675000	24675000
chr1	23875000	24875000
chr1	24075000	25075000
chr1	24275000	25275000
chr1	24475000	25475000
chr1	24675000	25675000
chr1	24875000	25875000
chr1	25075000	26075000
chr1	25275000	26275000
chr1	25475000	26475000
chr1	25675000	26675000
chr1	25875000	26875000
chr1	26075000	27075000
chr1	26275000	27275000
chr1	26475000	27475000
chr1	26675000	27675000
chr1	26875000	27875000
chr1	27075000	28075000
chr1	27275000	28275000
chr1	27475000	28475000
chr1	27675000	28675000
chr1	27875000	28875000
chr1	28075000	29075000
chr1	28275000	29275000
chr1	28475000	29475000
chr1	28675000	29675000
chr1	28875000	29875000
chr1	29075000	30075000
chr1	29275000	30275000
chr1	29475000	30475000
chr1	29675000	30675000
chr1	29875000	30875000
chr1	30075000	31075000
chr1	30275000	31275000
chr1	30475000	31475000
chr1	30675000	31675000
chr1	30875000	31875000
chr1	31075000	32075000
chr1	31275000	32275000
chr1	31475000	32475000
chr1	31675000	32675000
chr1	31875000	32875000
chr1	32075000	33075000
chr1	32275000	33275000
chr1	32475000	33475000
chr1	32675000	33675000
chr1	32875000	33875000
chr1	33075000	34075000
chr1	33275000	34275000
chr1	33475000	34475000
chr1	33675000	34675000
chr1	33875000	34875000
chr1	34075000	35075000
chr1	34275000	35275000
chr1	34475000	35475000
chr1	34675000	35675000
chr1	34875000	35875000
chr1	35075000	36075000
chr1	35275000	36275000
chr1	35475000	36475000
chr1	35675000	36675000
chr1	35875000	36875000
chr1	36075000	37075000
chr1	36275000	37275000
chr1	36475000	37475000
chr1	36675000	37675000
chr1	36875000	37875000
chr1	37075000	38075000
chr1	37275000	38275000
chr1	37475000	38475000
chr1	37675000	38675000
chr1	37875000	38875000
chr1	38075000	39075000
chr1	38275000	39275000
chr1	38475000	39475000
chr1	38675000	39675000
chr1	38875000	39875000
chr1	39075000	40075000
chr1	39275000	40275000
chr1	39475000	40475000
chr1	39675000	40675000
chr1	39875000	40875000
chr1	40075000	41075000
chr1	40275000	41275000
chr1	40475000	41475000
chr1	40675000	41675000
chr1	40875000	41875000
chr1	41075000	42075000
chr1	41275000	42275000
chr1	41475000	42475000
chr1	41675000	42675000
chr1	41875000	42875000
chr1	42075000	43075000
chr1	42275000	43275000
chr1	42475000	43475000
chr1	42675000	43675000
chr1	42875000	43875000
chr1	43075000	44075000
chr1	43275000	44275000
chr1	43475000	44475000
chr1	43675000	44675000
chr1	43875000	44875000
chr1	44075000	45075000
chr1	44275000	45275000
chr1	44475000	45475000
chr1	44675000	45675000
chr1	44875000	45875000
chr1	45075000	46075000
chr1	45275000	46275000
chr1	45475000	46475000
chr1	45675000	46675000
chr1	45875000	46875000
chr1	46075000	47075000
chr1	46275000	47275000
chr1	46475000	47475000
chr1	46675000	47675000
chr1	46875000	47875000
chr1	47075000	48075000
chr1	47275000	48275000
chr1	47475000	48475000
chr1	47675000	48675000
chr1	47875000	48875000
chr1	48075000	49075000
chr1	48275000	49275000
chr1	48475000	49475000
chr1	48675000	49675000
chr1	48875000	49875000
chr1	49075000	50075000
chr1	49275000	50275000
chr1	49475000	50475000
chr1	49675000	50675000
chr1	49875000	50875000
chr1	50075000	51075000
chr1	50275000	51275000
chr1	50475000	51475000
chr1	50675000	51675000
chr1	50875000	51875000
chr1	51075000	52075000
chr1	51275000	52275000
chr1	51475000	52475000
chr1	51675000	52675000
chr1	51875000	52875000
chr1	52075000	53075000
chr1	52275000	53275000
chr1	52475000	53475000
chr1	52675000	53675000
chr1	52875000	53875000
chr1	53075000	54075000
chr1	53275000	54275000
